year,state,disabilityType,classOfWorker,percentage,numbers
2018,Maine,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,8,54281.28
2018,Maine,With a Disability,Self-employed in own not incorporated business workers,8.1,4024.404
2018,Maine,No Disability,Self-employed in own not incorporated business workers,7.9,49677.728
2018,Maine,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,1357.032
2018,Maine,With a Disability,Unpaid family workers,0.4,198.736
2018,Maine,No Disability,Unpaid family workers,0.1,628.832
2018,North Carolina,Total Civilian Noninstitutionalized Population,,100,4870838
2018,North Carolina,With a Disability,,100,290312
2018,North Carolina,No Disability,,100,4580526
2018,North Carolina,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,73.6,3584936.768
2018,North Carolina,With a Disability,Private for-profit wage and salary workers,70.7,205250.584
2018,North Carolina,No Disability,Private for-profit wage and salary workers,73.8,3380428.188
2018,North Carolina,Total Civilian Noninstitutionalized Population,Employee of private company workers,69.9,3404715.762
2018,North Carolina,With a Disability,Employee of private company workers,67,194509.04
2018,North Carolina,No Disability,Employee of private company workers,70.1,3210948.726
2018,North Carolina,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.7,180221.006
2018,North Carolina,With a Disability,Self-employed in own incorporated business workers,3.7,10741.544
2018,North Carolina,No Disability,Self-employed in own incorporated business workers,3.7,169479.462
2018,North Carolina,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,6.9,336087.822
2018,North Carolina,With a Disability,Private not-for-profit wage and salary workers,7,20321.84
2018,North Carolina,No Disability,Private not-for-profit wage and salary workers,6.9,316056.294
2018,North Carolina,Total Civilian Noninstitutionalized Population,Local government workers,5.4,263025.252
2018,North Carolina,With a Disability,Local government workers,4.6,13354.352
2018,North Carolina,No Disability,Local government workers,5.5,251928.93
2018,North Carolina,Total Civilian Noninstitutionalized Population,State government workers,6.3,306862.794
2018,North Carolina,With a Disability,State government workers,5.7,16547.784
2018,North Carolina,No Disability,State government workers,6.4,293153.664
2018,North Carolina,Total Civilian Noninstitutionalized Population,Federal government workers,2.2,107158.436
2018,North Carolina,With a Disability,Federal government workers,3.7,10741.544
2018,North Carolina,No Disability,Federal government workers,2.1,96191.046
2018,North Carolina,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,5.4,263025.252
2018,North Carolina,With a Disability,Self-employed in own not incorporated business workers,7.9,22934.648
2018,North Carolina,No Disability,Self-employed in own not incorporated business workers,5.2,238187.352
2018,North Carolina,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,9741.676
2018,North Carolina,With a Disability,Unpaid family workers,0.3,870.936
2018,North Carolina,No Disability,Unpaid family workers,0.2,9161.052
2018,Missouri,Total Civilian Noninstitutionalized Population,,100,2920423
2018,Missouri,With a Disability,,100,194229
2018,Missouri,No Disability,,100,2726194
2018,Missouri,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,72.7,2123147.521
2018,Missouri,With a Disability,Private for-profit wage and salary workers,71.6,139067.964
2018,Missouri,No Disability,Private for-profit wage and salary workers,72.8,1984669.232
2018,Missouri,Total Civilian Noninstitutionalized Population,Employee of private company workers,69.7,2035534.831
2018,Missouri,With a Disability,Employee of private company workers,68.8,133629.552
2018,Missouri,No Disability,Employee of private company workers,69.8,1902883.412
2018,Missouri,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3,87612.69
2018,Missouri,With a Disability,Self-employed in own incorporated business workers,2.8,5438.412
2018,Missouri,No Disability,Self-employed in own incorporated business workers,3,81785.82
2018,Missouri,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,9.9,289121.877
2018,Missouri,With a Disability,Private not-for-profit wage and salary workers,9.9,19228.671
2018,Missouri,No Disability,Private not-for-profit wage and salary workers,9.9,269893.206
2018,Missouri,Total Civilian Noninstitutionalized Population,Local government workers,5.3,154782.419
2018,Missouri,With a Disability,Local government workers,4.7,9128.763
2018,Missouri,No Disability,Local government workers,5.3,144488.282
2018,Missouri,Total Civilian Noninstitutionalized Population,State government workers,4.2,122657.766
2018,Missouri,With a Disability,State government workers,4.2,8157.618
2018,Missouri,No Disability,State government workers,4.2,114500.148
2018,Missouri,Total Civilian Noninstitutionalized Population,Federal government workers,2.1,61328.883
2018,Missouri,With a Disability,Federal government workers,2.4,4661.496
2018,Missouri,No Disability,Federal government workers,2,54523.88
2018,Missouri,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,5.6,163543.688
2018,Missouri,With a Disability,Self-employed in own not incorporated business workers,6.7,13013.343
2018,Missouri,No Disability,Self-employed in own not incorporated business workers,5.5,149940.67
2018,Missouri,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,5840.846
2018,Missouri,With a Disability,Unpaid family workers,0.5,971.145
2018,Missouri,No Disability,Unpaid family workers,0.2,5452.388
2018,Pennsylvania,Total Civilian Noninstitutionalized Population,,100,6248938
2018,Pennsylvania,With a Disability,,100,399608
2018,Pennsylvania,No Disability,,100,5849330
2018,Pennsylvania,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,73,4561724.74
2018,Pennsylvania,With a Disability,Private for-profit wage and salary workers,70.4,281324.032
2018,Pennsylvania,No Disability,Private for-profit wage and salary workers,73.2,4281709.56
2018,Pennsylvania,Total Civilian Noninstitutionalized Population,Employee of private company workers,70.2,4386754.476
2018,Pennsylvania,With a Disability,Employee of private company workers,67.5,269735.4
2018,Pennsylvania,No Disability,Employee of private company workers,70.3,4112078.99
2018,Pennsylvania,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,2.9,181219.202
2018,Pennsylvania,With a Disability,Self-employed in own incorporated business workers,2.9,11588.632
2018,Pennsylvania,No Disability,Self-employed in own incorporated business workers,2.9,169630.57
2018,Pennsylvania,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,11.6,724876.808
2018,Pennsylvania,With a Disability,Private not-for-profit wage and salary workers,12,47952.96
2018,Pennsylvania,No Disability,Private not-for-profit wage and salary workers,11.5,672672.95
2018,Pennsylvania,Total Civilian Noninstitutionalized Population,Local government workers,5.1,318695.838
2018,Pennsylvania,With a Disability,Local government workers,5.2,20779.616
2018,Pennsylvania,No Disability,Local government workers,5.1,298315.83
2018,Pennsylvania,Total Civilian Noninstitutionalized Population,State government workers,3.1,193717.078
2018,Pennsylvania,With a Disability,State government workers,2.9,11588.632
2018,Pennsylvania,No Disability,State government workers,3.1,181329.23
2018,Pennsylvania,Total Civilian Noninstitutionalized Population,Federal government workers,1.8,112480.884
2018,Pennsylvania,With a Disability,Federal government workers,2.4,9590.592
2018,Pennsylvania,No Disability,Federal government workers,1.8,105287.94
2018,Pennsylvania,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,5.2,324944.776
2018,Pennsylvania,With a Disability,Self-employed in own not incorporated business workers,6.8,27173.344
2018,Pennsylvania,No Disability,Self-employed in own not incorporated business workers,5,292466.5
2018,Pennsylvania,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,12497.876
2018,Pennsylvania,With a Disability,Unpaid family workers,0.3,1198.824
2018,Pennsylvania,No Disability,Unpaid family workers,0.2,11698.66
2018,Michigan,Total Civilian Noninstitutionalized Population,,100,4708351
2018,Michigan,With a Disability,,100,303249
2018,Michigan,No Disability,,100,4405102
2018,Michigan,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,75.7,3564221.707
2018,Michigan,With a Disability,Private for-profit wage and salary workers,73.8,223797.762
2018,Michigan,No Disability,Private for-profit wage and salary workers,75.9,3343472.418
2018,Michigan,Total Civilian Noninstitutionalized Population,Employee of private company workers,72.3,3404137.773
2018,Michigan,With a Disability,Employee of private company workers,70.5,213790.545
2018,Michigan,No Disability,Employee of private company workers,72.4,3189293.848
2018,Michigan,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.5,164792.285
2018,Michigan,With a Disability,Self-employed in own incorporated business workers,3.3,10007.217
2018,Michigan,No Disability,Self-employed in own incorporated business workers,3.5,154178.57
2018,Michigan,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,9.3,437876.643
2018,Michigan,With a Disability,Private not-for-profit wage and salary workers,10.1,30628.149
2018,Michigan,No Disability,Private not-for-profit wage and salary workers,9.2,405269.384
2018,Michigan,Total Civilian Noninstitutionalized Population,Local government workers,5,235417.55
2018,Michigan,With a Disability,Local government workers,5,15162.45
2018,Michigan,No Disability,Local government workers,5,220255.1
2018,Michigan,Total Civilian Noninstitutionalized Population,State government workers,3.7,174208.987
2018,Michigan,With a Disability,State government workers,3.4,10310.466
2018,Michigan,No Disability,State government workers,3.8,167393.876
2018,Michigan,Total Civilian Noninstitutionalized Population,Federal government workers,1.3,61208.563
2018,Michigan,With a Disability,Federal government workers,1.4,4245.486
2018,Michigan,No Disability,Federal government workers,1.3,57266.326
2018,Michigan,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,4.8,226000.848
2018,Michigan,With a Disability,Self-employed in own not incorporated business workers,6,18194.94
2018,Michigan,No Disability,Self-employed in own not incorporated business workers,4.7,207039.794
2018,Michigan,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,9416.702
2018,Michigan,With a Disability,Unpaid family workers,0.3,909.747
2018,Michigan,No Disability,Unpaid family workers,0.2,8810.204
2018,Nebraska,Total Civilian Noninstitutionalized Population,,100,999347
2018,Nebraska,With a Disability,,100,68419
2018,Nebraska,No Disability,,100,930928
2018,Nebraska,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,70.3,702540.941
2018,Nebraska,With a Disability,Private for-profit wage and salary workers,64.6,44198.674
2018,Nebraska,No Disability,Private for-profit wage and salary workers,70.7,658166.096
2018,Nebraska,Total Civilian Noninstitutionalized Population,Employee of private company workers,66.4,663566.408
2018,Nebraska,With a Disability,Employee of private company workers,60.5,41393.495
2018,Nebraska,No Disability,Employee of private company workers,66.9,622790.832
2018,Nebraska,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.9,38974.533
2018,Nebraska,With a Disability,Self-employed in own incorporated business workers,4.2,2873.598
2018,Nebraska,No Disability,Self-employed in own incorporated business workers,3.9,36306.192
2018,Nebraska,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,9.2,91939.924
2018,Nebraska,With a Disability,Private not-for-profit wage and salary workers,8.8,6020.872
2018,Nebraska,No Disability,Private not-for-profit wage and salary workers,9.2,85645.376
2018,Nebraska,Total Civilian Noninstitutionalized Population,Local government workers,6.6,65956.902
2018,Nebraska,With a Disability,Local government workers,7.3,4994.587
2018,Nebraska,No Disability,Local government workers,6.6,61441.248
2018,Nebraska,Total Civilian Noninstitutionalized Population,State government workers,4.9,48968.003
2018,Nebraska,With a Disability,State government workers,4.6,3147.274
2018,Nebraska,No Disability,State government workers,4.9,45615.472
2018,Nebraska,Total Civilian Noninstitutionalized Population,Federal government workers,2.2,21985.634
2018,Nebraska,With a Disability,Federal government workers,2.9,1984.151
2018,Nebraska,No Disability,Federal government workers,2.1,19549.488
2018,Nebraska,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,6.7,66956.249
2018,Nebraska,With a Disability,Self-employed in own not incorporated business workers,11.4,7799.766
2018,Nebraska,No Disability,Self-employed in own not incorporated business workers,6.3,58648.464
2018,Nebraska,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,1998.694
2018,Nebraska,With a Disability,Unpaid family workers,0.4,273.676
2018,Nebraska,No Disability,Unpaid family workers,0.2,1861.856
2018,Oregon,Total Civilian Noninstitutionalized Population,,100,2029021
2018,Oregon,With a Disability,,100,141255
2018,Oregon,No Disability,,100,1887766
2018,Oregon,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,70.1,1422343.721
2018,Oregon,With a Disability,Private for-profit wage and salary workers,67.7,95629.635
2018,Oregon,No Disability,Private for-profit wage and salary workers,70.3,1327099.498
2018,Oregon,Total Civilian Noninstitutionalized Population,Employee of private company workers,66,1339153.86
2018,Oregon,With a Disability,Employee of private company workers,63.2,89273.16
2018,Oregon,No Disability,Employee of private company workers,66.2,1249701.092
2018,Oregon,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,4.2,85218.882
2018,Oregon,With a Disability,Self-employed in own incorporated business workers,4.5,6356.475
2018,Oregon,No Disability,Self-employed in own incorporated business workers,4.1,77398.406
2018,Oregon,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,9.3,188698.953
2018,Oregon,With a Disability,Private not-for-profit wage and salary workers,9.6,13560.48
2018,Oregon,No Disability,Private not-for-profit wage and salary workers,9.3,175562.238
2018,Oregon,Total Civilian Noninstitutionalized Population,Local government workers,6.4,129857.344
2018,Oregon,With a Disability,Local government workers,5.4,7627.77
2018,Oregon,No Disability,Local government workers,6.5,122704.79
2018,Oregon,Total Civilian Noninstitutionalized Population,State government workers,5.1,103480.071
2018,Oregon,With a Disability,State government workers,5.1,7204.005
2018,Oregon,No Disability,State government workers,5.1,96276.066
2018,Oregon,Total Civilian Noninstitutionalized Population,Federal government workers,1.6,32464.336
2018,Oregon,With a Disability,Federal government workers,2.3,3248.865
2018,Oregon,No Disability,Federal government workers,1.5,28316.49
2018,Oregon,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,7.2,146089.512
2018,Oregon,With a Disability,Self-employed in own not incorporated business workers,9.5,13419.225
2018,Oregon,No Disability,Self-employed in own not incorporated business workers,7,132143.62
2018,Oregon,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,4058.042
2018,Oregon,With a Disability,Unpaid family workers,0.5,706.275
2018,Oregon,No Disability,Unpaid family workers,0.2,3775.532
2018,Wyoming,Total Civilian Noninstitutionalized Population,,100,287436
2018,Wyoming,With a Disability,,100,21838
2018,Wyoming,No Disability,,100,265598
2018,Wyoming,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,65.6,188558.016
2018,Wyoming,With a Disability,Private for-profit wage and salary workers,65.3,14260.214
2018,Wyoming,No Disability,Private for-profit wage and salary workers,65.6,174232.288
2018,Wyoming,Total Civilian Noninstitutionalized Population,Employee of private company workers,60.7,174473.652
2018,Wyoming,With a Disability,Employee of private company workers,59.6,13015.448
2018,Wyoming,No Disability,Employee of private company workers,60.8,161483.584
2018,Wyoming,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,4.9,14084.364
2018,Wyoming,With a Disability,Self-employed in own incorporated business workers,5.7,1244.766
2018,Wyoming,No Disability,Self-employed in own incorporated business workers,4.8,12748.704
2018,Wyoming,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,6.6,18970.776
2018,Wyoming,With a Disability,Private not-for-profit wage and salary workers,7.3,1594.174
2018,Wyoming,No Disability,Private not-for-profit wage and salary workers,6.5,17263.87
2018,Wyoming,Total Civilian Noninstitutionalized Population,Local government workers,10.2,29318.472
2018,Wyoming,With a Disability,Local government workers,9.8,2140.124
2018,Wyoming,No Disability,Local government workers,10.2,27090.996
2018,Wyoming,Total Civilian Noninstitutionalized Population,State government workers,7.3,20982.828
2018,Wyoming,With a Disability,State government workers,3.6,786.168
2018,Wyoming,No Disability,State government workers,7.6,20185.448
2018,Wyoming,Total Civilian Noninstitutionalized Population,Federal government workers,3.4,9772.824
2018,Wyoming,With a Disability,Federal government workers,4.6,1004.548
2018,Wyoming,No Disability,Federal government workers,3.3,8764.734
2018,Wyoming,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,6.4,18395.904
2018,Wyoming,With a Disability,Self-employed in own not incorporated business workers,9.1,1987.258
2018,Wyoming,No Disability,Self-employed in own not incorporated business workers,6.2,16467.076
2018,Wyoming,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.6,1724.616
2018,Wyoming,With a Disability,Unpaid family workers,0.3,65.514
2018,Wyoming,No Disability,Unpaid family workers,0.6,1593.588
2018,California,Total Civilian Noninstitutionalized Population,,100,18928966
2018,California,With a Disability,,100,846738
2018,California,No Disability,,100,18082228
2018,California,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,72.1,13647784.49
2018,California,With a Disability,Private for-profit wage and salary workers,64.3,544452.534
2018,California,No Disability,Private for-profit wage and salary workers,72.4,13091533.07
2018,California,Total Civilian Noninstitutionalized Population,Employee of private company workers,68.5,12966341.71
2018,California,With a Disability,Employee of private company workers,60.4,511429.752
2018,California,No Disability,Employee of private company workers,68.9,12458655.09
2018,California,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.5,662513.81
2018,California,With a Disability,Self-employed in own incorporated business workers,3.9,33022.782
2018,California,No Disability,Self-employed in own incorporated business workers,3.5,632877.98
2018,California,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,6.5,1230382.79
2018,California,With a Disability,Private not-for-profit wage and salary workers,7.5,63505.35
2018,California,No Disability,Private not-for-profit wage and salary workers,6.4,1157262.592
2018,California,Total Civilian Noninstitutionalized Population,Local government workers,7.6,1438601.416
2018,California,With a Disability,Local government workers,9.4,79593.372
2018,California,No Disability,Local government workers,7.5,1356167.1
2018,California,Total Civilian Noninstitutionalized Population,State government workers,3.8,719300.708
2018,California,With a Disability,State government workers,4.4,37256.472
2018,California,No Disability,State government workers,3.8,687124.664
2018,California,Total Civilian Noninstitutionalized Population,Federal government workers,1.7,321792.422
2018,California,With a Disability,Federal government workers,2.6,22015.188
2018,California,No Disability,Federal government workers,1.7,307397.876
2018,California,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,8.2,1552175.212
2018,California,With a Disability,Self-employed in own not incorporated business workers,11.5,97374.87
2018,California,No Disability,Self-employed in own not incorporated business workers,8,1446578.24
2018,California,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,37857.932
2018,California,With a Disability,Unpaid family workers,0.3,2540.214
2018,California,No Disability,Unpaid family workers,0.2,36164.456
2018,Mississipi,Total Civilian Noninstitutionalized Population,,100,1231410
2018,Mississipi,With a Disability,,100,89511
2018,Mississipi,No Disability,,100,1141899
2018,Mississipi,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,70.6,869375.46
2018,Mississipi,With a Disability,Private for-profit wage and salary workers,69,61762.59
2018,Mississipi,No Disability,Private for-profit wage and salary workers,70.7,807322.593
2018,Mississipi,Total Civilian Noninstitutionalized Population,Employee of private company workers,68,837358.8
2018,Mississipi,With a Disability,Employee of private company workers,65.9,58987.749
2018,Mississipi,No Disability,Employee of private company workers,68.2,778775.118
2018,Mississipi,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,2.6,32016.66
2018,Mississipi,With a Disability,Self-employed in own incorporated business workers,3.2,2864.352
2018,Mississipi,No Disability,Self-employed in own incorporated business workers,2.5,28547.475
2018,Mississipi,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,5.5,67727.55
2018,Mississipi,With a Disability,Private not-for-profit wage and salary workers,5.1,4565.061
2018,Mississipi,No Disability,Private not-for-profit wage and salary workers,5.6,63946.344
2018,Mississipi,Total Civilian Noninstitutionalized Population,Local government workers,5.7,70190.37
2018,Mississipi,With a Disability,Local government workers,5.7,5102.127
2018,Mississipi,No Disability,Local government workers,5.8,66230.142
2018,Mississipi,Total Civilian Noninstitutionalized Population,State government workers,9.4,115752.54
2018,Mississipi,With a Disability,State government workers,7.5,6713.325
2018,Mississipi,No Disability,State government workers,9.5,108480.405
2018,Mississipi,Total Civilian Noninstitutionalized Population,Federal government workers,3,36942.3
2018,Mississipi,With a Disability,Federal government workers,3.6,3222.396
2018,Mississipi,No Disability,Federal government workers,3,34256.97
2018,Mississipi,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,5.6,68958.96
2018,Mississipi,With a Disability,Self-employed in own not incorporated business workers,8.7,7787.457
2018,Mississipi,No Disability,Self-employed in own not incorporated business workers,5.3,60520.647
2018,Mississipi,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,2462.82
2018,Mississipi,With a Disability,Unpaid family workers,0.4,358.044
2018,Mississipi,No Disability,Unpaid family workers,0.2,2283.798
2018,Connecticut,With a Disability,,100,88271
2018,Connecticut,No Disability,,100,1733978
2018,Connecticut,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,71.9,#REF!
2018,Connecticut,With a Disability,Private for-profit wage and salary workers,67.9,59936.009
2018,Connecticut,No Disability,Private for-profit wage and salary workers,72.1,1250198.138
2018,Connecticut,Total Civilian Noninstitutionalized Population,Employee of private company workers,68.3,#REF!
2018,Connecticut,With a Disability,Employee of private company workers,63.9,56405.169
2018,Connecticut,No Disability,Employee of private company workers,68.5,1187774.93
2018,Connecticut,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.6,#REF!
2018,Connecticut,With a Disability,Self-employed in own incorporated business workers,4.1,3619.111
2018,Connecticut,No Disability,Self-employed in own incorporated business workers,3.6,62423.208
2018,Connecticut,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,9.7,#REF!
2018,Connecticut,With a Disability,Private not-for-profit wage and salary workers,11.3,9974.623
2018,Connecticut,No Disability,Private not-for-profit wage and salary workers,9.6,166461.888
2018,Connecticut,Total Civilian Noninstitutionalized Population,Local government workers,7.2,#REF!
2018,Connecticut,With a Disability,Local government workers,7.3,6443.783
2018,Connecticut,No Disability,Local government workers,7.2,124846.416
2018,Connecticut,Total Civilian Noninstitutionalized Population,State government workers,3.6,#REF!
2018,Connecticut,With a Disability,State government workers,3.6,3177.756
2018,Connecticut,No Disability,State government workers,3.6,62423.208
2018,Connecticut,Total Civilian Noninstitutionalized Population,Federal government workers,1.4,#REF!
2018,Connecticut,With a Disability,Federal government workers,2.2,1941.962
2018,Connecticut,No Disability,Federal government workers,1.4,24275.692
2018,Connecticut,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,6,#REF!
2018,Connecticut,With a Disability,Self-employed in own not incorporated business workers,7.4,6532.054
2018,Connecticut,No Disability,Self-employed in own not incorporated business workers,6,104038.68
2018,Connecticut,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.1,#REF!
2018,Connecticut,With a Disability,Unpaid family workers,0.3,264.813
2018,Connecticut,No Disability,Unpaid family workers,0.1,1733.978
2018,Texas,Total Civilian Noninstitutionalized Population,,100,13488514
2018,Texas,With a Disability,,100,791625
2018,Texas,No Disability,,100,12696889
2018,Texas,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,74.7,10075919.96
2018,Texas,With a Disability,Private for-profit wage and salary workers,70,554137.5
2018,Texas,No Disability,Private for-profit wage and salary workers,75,9522666.75
2018,Texas,Total Civilian Noninstitutionalized Population,Employee of private company workers,71.8,9684753.052
2018,Texas,With a Disability,Employee of private company workers,66.6,527222.25
2018,Texas,No Disability,Employee of private company workers,72.1,9154456.969
2018,Texas,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3,404655.42
2018,Texas,With a Disability,Self-employed in own incorporated business workers,3.4,26915.25
2018,Texas,No Disability,Self-employed in own incorporated business workers,3,380906.67
2018,Texas,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,5.6,755356.784
2018,Texas,With a Disability,Private not-for-profit wage and salary workers,6.2,49080.75
2018,Texas,No Disability,Private not-for-profit wage and salary workers,5.5,698328.895
2018,Texas,Total Civilian Noninstitutionalized Population,Local government workers,6.3,849776.382
2018,Texas,With a Disability,Local government workers,6.9,54622.125
2018,Texas,No Disability,Local government workers,6.3,799904.007
2018,Texas,Total Civilian Noninstitutionalized Population,State government workers,4.5,606983.13
2018,Texas,With a Disability,State government workers,4.8,37998
2018,Texas,No Disability,State government workers,4.4,558663.116
2018,Texas,Total Civilian Noninstitutionalized Population,Federal government workers,1.9,256281.766
2018,Texas,With a Disability,Federal government workers,3,23748.75
2018,Texas,No Disability,Federal government workers,1.9,241240.891
2018,Texas,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,6.8,917218.952
